"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"ATL",5462,0.00457707799340901,0.0399121201025265,0.00683618844068613,0.045565619574507,5471,0.00383842076402851,0.033997441052824,0.00594913150157023,0.0392598517267694
"BNA",999,0.01001001001001,0.0630630630630631,0.0188301432060203,0.0803522286751464,989,0.00808897876643074,0.0657229524772497,0.0164074814120121,0.0833925244089176
"BOS",789,0.0240811153358682,0.0925221799746515,0.037885224073686,0.115360784775871,790,0.0227848101265823,0.0759493670886076,0.0363109637278518,0.0971293114467956
"BWI",1193,0.0176026823134954,0.0502933780385583,0.0271504307440433,0.0646071427342053,1195,0.0133891213389121,0.0736401673640167,0.0220361533182211,0.0902816268307635
"CLT",2216,0.00541516245487365,0.0370036101083032,0.00966652316092288,0.0459370131785297,2216,0.00451263537906137,0.0406137184115523,0.00851777161449376,0.0499016342248706
"DCA",390,0.0102564102564103,0.0461538461538462,0.0275673464654448,0.0728789430105292,390,0.0128205128205128,0.0538461538461538,0.0310768686062142,0.0819987153357749
"DEN",370,0.00540540540540541,0.0243243243243243,0.0213330270701782,0.0468849566407648,370,0.00810810810810811,0.1,0.0252463674107566,0.135884639873198
"DFW",1428,0.0287114845938375,0.0973389355742297,0.0390478141990395,0.114210336121608,1428,0.0210084033613445,0.0973389355742297,0.0301582291506406,0.114210336121608
"DTW",188,0.0159574468085106,0.0585106382978723,0.0490287546473357,0.103972386623792,189,0.0105820105820106,0.0582010582010582,0.0412348818501183,0.103440456666245
"EWR",1172,0.0383959044368601,0.120307167235495,0.0513899000772746,0.140659266889249,1209,0.0397022332506203,0.0885028949545079,0.0526361073671884,0.106282249868453
"FLL",804,0.00373134328358209,0.0385572139303483,0.0117057888958658,0.0547674041054517,803,0.0062266500622665,0.0535491905354919,0.015202606100117,0.0719169506158373
"HOU",399,0.012531328320802,0.0776942355889724,0.0303854722856523,0.109202683468324,400,0.005,0.0875,0.0197528434674256,0.120284815658653
"IAD",382,0.0183246073298429,0.0732984293193717,0.0386778219188296,0.104974484217917,387,0.0103359173126615,0.0723514211886305,0.0277781229942863,0.103646592658571
"IAH",880,0.0193181818181818,0.0875,0.0312484188394918,0.108555990431861,891,0.0145903479236813,0.0886644219977553,0.0253416559587529,0.109682861826582
"JFK",1057,0.0245979186376537,0.120151371807001,0.0362322599197128,0.141649362124839,1059,0.0226628895184136,0.115203021718602,0.0339346656835368,0.136342258245389
"LAS",124,0,0.0403225806451613,0.0375487737506286,0.0948810852094857,124,0.00806451612903226,0.137096774193548,0.0501817655031819,0.211287472303532
"LGA",45,0.0666666666666667,0.2,0.188527096059425,0.34370290554088,42,0.0714285714285714,0.19047619047619,0.200480328062837,0.339022366292215
"MDW",365,0.0246575342465753,0.0657534246575342,0.0475166178389031,0.0971062233989397,365,0.0219178082191781,0.0767123287671233,0.0440061466716371,0.109755310666501
"MIA",840,0.0226190476190476,0.0607142857142857,0.0356047532427213,0.07949720954019,839,0.0262216924910608,0.0572109654350417,0.0399258353140837,0.07558283057779
"MSP",172,0.00581395348837209,0.0523255813953488,0.0365593814048178,0.0989921380075714,174,0.00574712643678161,0.0344827586206897,0.0361504814639979,0.0760015313656053
"ORD",622,0.0305466237942122,0.128617363344051,0.0479394751849891,0.157960038103328,568,0.0211267605633803,0.0950704225352113,0.0373971475893717,0.122753724339068
"PHL",393,0.0101781170483461,0.0305343511450382,0.0273597444542555,0.0537787982801998,394,0.0101522842639594,0.0431472081218274,0.0272912368679778,0.0691134803365009
"SJU",64,0,0.03125,0.0703900321187786,0.115890735302667,64,0,0.015625,0.0703900321187786,0.0939239071643072
