"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",708,0.00564971751412429,0.0522598870056497,0.015278502874999,0.0718302069560728,0.00689479060265577,0.0539267015706806
"AUS",944,0.00635593220338983,0.0434322033898305,0.0143807332245799,0.0588755157463983,0.00726059654631083,0.0452
"DAL",1623,0.00924214417744917,0.0690080098582871,0.0154904837856457,0.0827243111288422,0.00965728418325286,0.0692078618225134
"DEN",1064,0.0169172932330827,0.0855263157894737,0.0270225919971681,0.104333728570177,0.0170294943820225,0.085
"DFW",1938,0.0201238390092879,0.0913312693498452,0.0276366338495875,0.10530132768135,0.0200675541426585,0.0908726178535607
"HOU",994,0.0100603621730382,0.0653923541247485,0.0189242732859692,0.0829775969819651,0.010662177328844,0.0659047619047619
"IAH",1985,0.0120906801007557,0.0664987405541562,0.0181654931718839,0.0786114662445435,0.0123289001067857,0.0667319941205291
"LAS",825,0.00121212121212121,0.0642424242424242,0.0077899010347446,0.0836332037951555,0.00266607420573206,0.0649262202043133
"LAX",1275,0.0101960784313725,0.0807843137254902,0.0177485619388836,0.0974469598383287,0.0106650866538291,0.0805409466566491
"ORD",587,0.0272572402044293,0.155025553662692,0.0445940181512631,0.187317861393237,0.0262760495318635,0.14805598755832
"PHX",2278,0.00614574187884109,0.0632133450395083,0.0105047787437359,0.0742244759625938,0.00654428012918579,0.0634961439588689
"SAT",884,0.00226244343891403,0.0554298642533937,0.00899885227792378,0.0730480212215624,0.00354462051709758,0.0565957446808511
