"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",5471,0.00383842076402851,0.033997441052824,0.00594913150157023,0.0392598517267694,0.00403880134145902,0.0344128822145829
"BNA",989,0.00808897876643074,0.0657229524772497,0.0164074814120121,0.0833925244089176,0.00883292614170269,0.0662200956937799
"BOS",790,0.0227848101265823,0.0759493670886076,0.0363109637278518,0.0971293114467956,0.0224225612575127,0.075886524822695
"BWI",1195,0.0133891213389121,0.0736401673640167,0.0220361533182211,0.0902816268307635,0.0136986301369863,0.0737010391686651
"CLT",2216,0.00451263537906137,0.0406137184115523,0.00851777161449376,0.0499016342248706,0.00497555865921788,0.0414612676056338
"DCA",390,0.0128205128205128,0.0538461538461538,0.0310768686062142,0.0819987153357749,0.0137575236457438,0.0565022421524664
"DEN",370,0.00810810810810811,0.1,0.0252463674107566,0.135884639873198,0.00988319856244385,0.0967136150234742
"DFW",1428,0.0210084033613445,0.0973389355742297,0.0301582291506406,0.114210336121608,0.0208887706226716,0.0964959568733154
"DTW",189,0.0105820105820106,0.0582010582010582,0.0412348818501183,0.103440456666245,0.0128690386071158,0.0620408163265306
"EWR",1209,0.0397022332506203,0.0885028949545079,0.0526361073671884,0.106282249868453,0.0384675284223641,0.0879051383399209
"FLL",803,0.0062266500622665,0.0535491905354919,0.015202606100117,0.0719169506158373,0.00728763379640173,0.0549476135040745
"HOU",400,0.005,0.0875,0.0197528434674256,0.120284815658653,0.00715488215488216,0.0859649122807018
"IAD",387,0.0103359173126615,0.0723514211886305,0.0277781229942863,0.103646592658571,0.0116832540025963,0.072686230248307
"IAH",891,0.0145903479236813,0.0886644219977553,0.0253416559587529,0.109682861826582,0.0149037466363072,0.0878563885955649
"JFK",1059,0.0226628895184136,0.115203021718602,0.0339346656835368,0.136342258245389,0.022394639393405,0.113183856502242
"LAS",124,0.00806451612903226,0.137096774193548,0.0501817655031819,0.211287472303532,0.0120481927710843,0.117777777777778
"LGA",42,0.0714285714285714,0.19047619047619,0.200480328062837,0.339022366292215,0.037542662116041,0.124489795918367
"MDW",365,0.0219178082191781,0.0767123287671233,0.0440061466716371,0.109755310666501,0.0213539300318037,0.0764845605700713
"MIA",839,0.0262216924910608,0.0572109654350417,0.0399258353140837,0.07558283057779,0.0255961496390287,0.0583240223463687
"MSP",174,0.00574712643678161,0.0344827586206897,0.0361504814639979,0.0760015313656053,0.00963081861958266,0.0443478260869565
"ORD",568,0.0211267605633803,0.0950704225352113,0.0373971475893717,0.122753724339068,0.0208333333333333,0.0932692307692308
"PHL",394,0.0101522842639594,0.0431472081218274,0.0272912368679778,0.0691134803365009,0.0115089514066496,0.0471111111111111
"SJU",64,0,0.015625,0.0703900321187786,0.0939239071643072,0.0100574712643678,0.0433333333333333
