"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ATL",3440,0.00348837209302326,0.0375,0.00623347540515887,0.0445561760862878
"BNA",698,0.0100286532951289,0.0630372492836676,0.0213125561122058,0.0842061318010744
"BWI",1603,0.0237055520898316,0.0792264504054897,0.0326637793941458,0.0938300110170202
"CLT",107,0.00934579439252336,0.0186915887850467,0.0578105295919729,0.0714168167621199
"DAL",84,0,0.0595238095238095,0.0545011497917969,0.137235053106362
"DCA",84,0.0238095238095238,0.130952380952381,0.0898640191326543,0.223377161755562
"DEN",653,0.00918836140888208,0.0826952526799387,0.0207341069278666,0.107023711360198
"DFW",1655,0.0241691842900302,0.101510574018127,0.0330297530090416,0.117362655030795
"DTW",130,0.00769230769230769,0.0461538461538462,0.0479485437112834,0.100637271992284
"EWR",1041,0.0489913544668588,0.103746397694524,0.0642930000686606,0.124250217248628
"FLL",314,0.00318471337579618,0.089171974522293,0.0202758578375515,0.127122433416081
"IAD",214,0.0186915887850467,0.107476635514019,0.0496839080806619,0.157840139167248
"IAH",1081,0.00832562442183164,0.0471785383903793,0.0162207734142098,0.0619356214580727
"JFK",730,0.0643835616438356,0.146575342465753,0.0851834153221104,0.174751958110673
"LAS",682,0,0.0351906158357771,0.00703250880990211,0.0524823834213206
"LAX",638,0.00470219435736677,0.054858934169279,0.0147269268773212,0.0760276618187692
"LGA",2104,0.0788973384030418,0.164923954372624,0.0914936123308335,0.181750624897313
"MCO",1110,0.00900900900900901,0.0810810810810811,0.0169576184180143,0.0990791104394452
"MDW",2009,0.0258835241413639,0.0811348929815829,0.0340280531862142,0.094195265451989
"MIA",722,0.00554016620498615,0.056786703601108,0.0149844266791879,0.0767500840232073
"MSP",529,0.0056710775047259,0.0434782608695652,0.0177319142244423,0.0652207541401023
"MSY",1,0,0,0.838178046004133,0.838178046004133
"ORD",4044,0.0427794263105836,0.136003956478734,0.049624332878916,0.147151227822691
"PHX",1158,0.00172711571675302,0.0561312607944732,0.00687875162077606,0.0713354026327119
"RSW",516,0.00387596899224806,0.0658914728682171,0.0153549724701442,0.0914945497208707
"SLC",1,0,0,0.838178046004133,0.838178046004133
"STL",650,0.00307692307692308,0.0692307692307692,0.0122136832151065,0.0920633634237179
"TPA",705,0.00851063829787234,0.0652482269503546,0.0192169945832877,0.0865714257696335
