"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"ATL",1026,0.00974658869395711,0.0477582846003899,0.0183375985690776,0.063033750643012,1026,0.00779727095516569,0.0497076023391813,0.0158192026337665,0.0652239466804603
"BWI",1862,0.0214822771213749,0.0553168635875403,0.0293755533016089,0.0669394194884105,1868,0.0187366167023555,0.0765524625267666,0.0261990916194455,0.0898139335487899
"CLT",719,0.00973574408901252,0.0389429763560501,0.0206950742124937,0.0563274862790849,719,0.00973574408901252,0.0417246175243394,0.0206950742124937,0.059558094800813
"DEN",3,0,0,0.627208174095541,0.627208174095541,3,0,0,0.627208174095541,0.627208174095541
"DTW",636,0.0125786163522013,0.0487421383647799,0.0254296096859462,0.0690453145248681,636,0.00943396226415094,0.050314465408805,0.021283418326597,0.0708561051500957
"EWR",57,0.0350877192982456,0.087719298245614,0.128961130826361,0.196371195279831,77,0,0.025974025974026,0.0591764199999356,0.097530668792275
"FLL",316,0.0126582278481013,0.0316455696202532,0.0339151069481887,0.058740806834958,317,0.00630914826498423,0.0378548895899054,0.0248442359971627,0.0664121745433469
"IAD",58,0.0172413793103448,0.103448275862069,0.102891186966942,0.21418219581885,39,0.0512820512820513,0.230769230769231,0.18161425734751,0.388889618165319
"LAS",301,0.00664451827242525,0.0398671096345515,0.0261432259830384,0.0698673741323181,301,0.00332225913621262,0.129568106312292,0.0211377801616935,0.173489997187346
"MCO",703,0.0142247510668563,0.0483641536273115,0.0266890452146744,0.0674547274036956,691,0.0115774240231548,0.0723589001447178,0.0234228634009641,0.0947801167736636
"MDW",727,0.0247592847317744,0.0715268225584594,0.0394269038136524,0.0932198129165412,730,0.0205479452054795,0.0876712328767123,0.0342645198254015,0.111035931275465
"MSP",143,0.00699300699300699,0.0559440559440559,0.043731778425656,0.109562216844379,142,0.00704225352112676,0.0915492957746479,0.0440296356263637,0.152995039853492
"ORD",975,0.0328205128205128,0.133333333333333,0.0464326960124026,0.156663013580323,974,0.0297741273100616,0.151950718685832,0.0429014563092534,0.176419540840591
"RSW",5,0,0,0.499382028649922,0.499382028649922,5,0,0,0.499382028649922,0.499382028649922
"TPA",420,0.00952380952380952,0.0404761904761905,0.0256230976235419,0.0649062056494694,422,0.00947867298578199,0.0853080568720379,0.0255031861234332,0.116821851469677
