"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"AA",2023,0.0261987147800297,0.0790904597132971,0.0343511515765455,0.0919671610056276,2023,0.0227385071675729,0.0884824518042511,0.0304348107979231,0.101962420484979
"DL",4907,0.00203790503362543,0.0360709190951702,0.00385252159254908,0.0417971896385571,4908,0.00224123879380603,0.0315810920945395,0.00411269418764299,0.0369821226245584
"EV",4140,0.042512077294686,0.121014492753623,0.0492528873055436,0.131526305366001,4141,0.0313933832407631,0.0939386621588988,0.0373002200974472,0.103410369370051
"F9",695,0.00719424460431655,0.0762589928057554,0.0175464100015657,0.0990513708864981,693,0.00721500721500722,0.0779220779220779,0.0175966487519515,0.100936585445845
"FL",969,0.00206398348813209,0.0526315789473684,0.00821353498314969,0.0690217005368899,969,0.00309597523219814,0.0340557275541796,0.00972315577538188,0.0479109989522297
"MQ",2271,0.063848524878908,0.147071774548657,0.0749240483512927,0.162569344496449,2270,0.060352422907489,0.118502202643172,0.0711730990657378,0.13276169747026
"OO",779,0.0282413350449294,0.111681643132221,0.042971430455984,0.136351607008713,778,0.0308483290488432,0.110539845758355,0.0460704262483057,0.135133660529346
"UA",884,0.0135746606334842,0.0667420814479638,0.0241262278406895,0.0856694143182378,885,0.00903954802259887,0.0903954802259887,0.0183227036502043,0.111648269625965
"US",1754,0.0136830102622577,0.0387685290763968,0.0205474095553574,0.0491448666020765,1754,0.0114025085518814,0.0501710376282782,0.017816808775338,0.0617074013426744
"WN",9040,0.0115044247787611,0.0573008849557522,0.0139838826752404,0.0623923576367151,9043,0.00951011832356519,0.0811677540639168,0.0117906701548233,0.0871012245213954
