"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"DEN",2219,0.0139702568724651,0.0793150067598017,0.0199745971812303,0.091584681994223,2234,0.00805729632945389,0.0774395702775291,0.0129151996209418,0.0895451473834074
"GEG",659,0.00758725341426404,0.0515933232169954,0.0184969750709674,0.0718999416689229,645,0.00155038759689922,0.0589147286821705,0.0099477441342358,0.0805132646910409
"IAH",315,0.0253968253968254,0.0666666666666667,0.0508609249213817,0.101063993746774,313,0.0223642172523962,0.0958466453674121,0.0470479912221363,0.134787008624607
"LAS",718,0.00696378830083565,0.052924791086351,0.0169886271691388,0.0724289853572316,716,0.00279329608938547,0.0516759776536313,0.0110956575191302,0.0710375223534698
"LAX",967,0.0124095139607032,0.0651499482936918,0.0220691773599301,0.0829819463443077,968,0.0134297520661157,0.0795454545454545,0.023339471241665,0.098805234074792
"MDW",64,0.015625,0.09375,0.0939239071643072,0.195789548724126,64,0,0.09375,0.0703900321187786,0.195789548724126
"MSP",640,0,0.0265625,0.00749073251854544,0.0428388727373798,637,0,0.0408163265306122,0.00752575843158365,0.059827273492557
"OAK",719,0.00139082058414465,0.0570236439499305,0.00893071536859483,0.077066250853314,716,0.00418994413407821,0.0656424581005587,0.0131341397949634,0.086826691333893
"ORD",385,0.0337662337662338,0.101298701298701,0.058085230659698,0.13653620160179,391,0.0383631713554987,0.158567774936061,0.0634602775623271,0.199105197831816
"PHX",1183,0.00422654268808115,0.0321217244294167,0.0103419351085591,0.0441736788807071,1183,0.00253592561284869,0.043956043956044,0.00797195200185247,0.0575895068318026
"SAN",364,0.010989010989011,0.0467032967032967,0.0295078207174091,0.0747004447208775,365,0.0136986301369863,0.063013698630137,0.0331736365924439,0.093916818189003
"SEA",234,0,0.0299145299145299,0.020237470189119,0.0625439553091568,234,0.00427350427350427,0.047008547008547,0.0270680664064988,0.084081492801017
"SFO",1688,0.0290284360189573,0.1510663507109,0.0384550555954653,0.169342319308109,1687,0.030823947836396,0.126852400711322,0.0404851390894306,0.143969513897632
"SLC",1540,0.00194805194805195,0.0175324675324675,0.00613010941086729,0.0256921657570836,1544,0.00194300518134715,0.0233160621761658,0.00611428144166597,0.0324138016438002
