"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ALB",57,0.0350877192982456,0.087719298245614,0.128961130826361,0.196371195279831,0.0257186081694402,0.0814159292035398
"ANC",9,0,0.111111111111111,0.353982657103997,0.464478315480846,0.0166270783847981,0.08
"ATL",5391,0.0255982192543127,0.101279910962716,0.0302790096243239,0.10980117124934,0.025502177015111,0.101009730126675
"AUS",873,0.0240549828178694,0.0893470790378007,0.0370183045010459,0.110664925691378,0.0236237080784645,0.0884822389666308
"BDL",361,0.0443213296398892,0.105263157894737,0.0719819455433159,0.14229014210665,0.0398899587345254,0.101199040767386
"BNA",2147,0.0498369818351188,0.12342803912436,0.0601323487265584,0.138347194736796,0.048780487804878,0.122197004085338
"BOS",5001,0.0319936012797441,0.105178964207159,0.037370725815689,0.114178796768355,0.0317954375320121,0.104844769626261
"BUF",498,0.0321285140562249,0.106425702811245,0.0524537173722928,0.137442828731702,0.0303558967201675,0.103249097472924
"BWI",146,0.0753424657534247,0.123287671232877,0.132610271388269,0.18884442665243,0.0560578661844485,0.10990099009901
"CHS",1323,0.0506424792139078,0.131519274376417,0.0641865582529773,0.151251618770177,0.0489200400514948,0.129224075416969
"CLE",1639,0.0335570469798658,0.100061012812691,0.0437221139562139,0.115904931411742,0.0329016450822541,0.0992330383480826
"CLT",4806,0.0328755722014149,0.107573866000832,0.0384353227363688,0.11684716422469,0.0326559042858314,0.107198683669272
"CMH",912,0.0635964912280702,0.160087719298246,0.0818514882903324,0.185893994647474,0.0601701782820097,0.155165289256198
"CVG",1724,0.0696055684454756,0.146171693735499,0.0829262884296639,0.16402722547838,0.0674744330813695,0.143932584269663
"DAY",831,0.0601684717208183,0.155234657039711,0.0790010925840916,0.182058490500062,0.0567203707790775,0.150169109357384
"DCA",1637,0.0763591936469151,0.149053145998778,0.0905844806432478,0.167533294273232,0.0738231515009929,0.146603662138216
"DEN",2833,0.0264737027885634,0.118249205788916,0.033242906623484,0.13093604352888,0.0262705453545148,0.117410868812738
"DFW",2601,0.0380622837370242,0.13840830449827,0.0463363722374297,0.152518151030251,0.0375158807264031,0.137071885585247
"DSM",202,0.0396039603960396,0.0841584158415842,0.0784909567444138,0.132553589538905,0.0339105339105339,0.0821705426356589
"DTW",2730,0.0402930402930403,0.131135531135531,0.0485471608423091,0.14460893258452,0.0397119634963639,0.130007178750897
"FLL",3727,0.0225382345049638,0.0877381271800376,0.0279636110358641,0.0974645848887763,0.0224606806585661,0.0875495638382236
"GRR",527,0.0683111954459203,0.142314990512334,0.0939350195529923,0.175569989914157,0.0621056127532381,0.135849056603774
"GSO",796,0.0753768844221105,0.160804020100503,0.0964068439989333,0.188585795943387,0.0704775022956841,0.155164319248826
"GSP",744,0.0698924731182796,0.145161290322581,0.0911183119601289,0.172957900170558,0.065185546875,0.14025
"HNL",364,0.0274725274725275,0.0521978021978022,0.0511258347811579,0.0812494689944042,0.0259562841530055,0.0552380952380952
"HOU",948,0.0274261603375527,0.130801687763713,0.0403636673460724,0.154318885036391,0.0267787333854574,0.127689243027888
"IAD",816,0.0625,0.159313725490196,0.0818070935107438,0.186643513489117,0.0587971274685817,0.153899082568807
"IAH",3676,0.0198585418933623,0.0927638737758433,0.0250388858058054,0.102791330033942,0.0198336532309661,0.092497320471597
"IND",1390,0.0669064748201439,0.164028776978417,0.0816482300464177,0.184875566845731,0.0644280644280644,0.160580912863071
"JAX",1172,0.0383959044368601,0.120307167235495,0.0513899000772746,0.140659266889249,0.0372033354714561,0.118241042345277
"LAS",1916,0.0203549060542797,0.0694154488517745,0.0279524881439818,0.0819823197236638,0.0202892728003214,0.0695740365111562
"LAX",5021,0.0171280621390161,0.0790679147580163,0.021213264915795,0.0870310636606223,0.0171500333581885,0.0790230451053772
"MCI",1119,0.0598748882931189,0.123324396782842,0.0757745121735733,0.14438127079038,0.0572768380505778,0.121021276595745
"MCO",5186,0.0208252988816043,0.0985345160046278,0.0251931976067489,0.107129480329622,0.0207937352695203,0.0982830980541778
"MDW",1932,0.056935817805383,0.148550724637681,0.0684631456737983,0.165475094200364,0.0555001992825827,0.146478873239437
"MEM",1000,0.059,0.141,0.0758351960935668,0.164489949369711,0.0561755952380952,0.1375
"MIA",2860,0.022027972027972,0.0842657342657343,0.0282613436228745,0.0952601181157337,0.0219405832651949,0.0840877914951989
"MKE",1053,0.0598290598290598,0.137701804368471,0.0762732854726552,0.160358985919444,0.0570820776458075,0.13453561767358
"MSN",379,0.0580474934036939,0.197889182058047,0.0874308284193447,0.24200230804009,0.0515191545574637,0.182068965517241
"MSP",1796,0.0528953229398664,0.138641425389755,0.0645331232743004,0.155774355062559,0.0515177426250534,0.136717062634989
"MSY",1286,0.0357698289269051,0.116640746500778,0.047748968287666,0.135782512110053,0.0348222156920364,0.114903129657228
"OKC",169,0.0355029585798817,0.0473372781065089,0.0781763690924517,0.0932892716940682,0.0303030303030303,0.0542222222222222
"OMA",685,0.0613138686131387,0.143065693430657,0.0824904318500887,0.171976416253713,0.0570902394106814,0.137921727395412
"ORD",4015,0.0361145703611457,0.148443337484433,0.0424984117263104,0.160020655928021,0.0357928707642658,0.147433063129452
"ORF",462,0.0714285714285714,0.149350649350649,0.0995260657780545,0.185655501495776,0.0640357408786299,0.141312741312741
"PBI",2579,0.025979061651803,0.0864676231097325,0.0330584010211532,0.0982050384620207,0.0257704769798809,0.0862239089184061
"PDX",479,0.0104384133611691,0.0271398747390397,0.0253685682317804,0.0468421098862507,0.0115481775532299,0.0321495327102804
"PHX",2410,0.016597510373444,0.0817427385892116,0.0227208912248369,0.0936311367077221,0.0166586190246258,0.0815896188158962
"PIT",312,0.0608974358974359,0.0961538461538462,0.0944790446604611,0.135207518124588,0.0526859504132231,0.0929347826086957
"PVD",264,0.113636363636364,0.196969696969697,0.159017906172371,0.250496541828511,0.0925707547169811,0.175625
"RDU",739,0.0446549391069012,0.0960757780784844,0.0626515655141067,0.120089983069497,0.042250061409973,0.0945911949685535
"RIC",1271,0.044846577498033,0.121164437450826,0.0580412865023566,0.140707420158564,0.0433813697816075,0.119216277317257
"ROC",514,0.0583657587548638,0.118677042801556,0.0829318143855748,0.150343400152466,0.0532926001357773,0.114385964912281
"RSW",1496,0.0207219251336898,0.0655080213903743,0.0295746947133201,0.0795478904410573,0.0206211812627291,0.0658505154639175
"SAN",1074,0.0167597765363128,0.058659217877095,0.0267726460835699,0.0747966875267702,0.0168813087365124,0.0594690265486726
"SAT",223,0.0179372197309417,0.134529147982063,0.0477259986290175,0.187162943319522,0.0181086519114688,0.12258064516129
"SAV",711,0.0618846694796062,0.160337552742616,0.0826867983880288,0.189812623672975,0.0577461205800051,0.154106910039113
"SDF",842,0.0581947743467933,0.141330166270784,0.0766497089198544,0.167099333082553,0.0549498473615351,0.137193763919822
"SEA",1676,0.0107398568019093,0.0572792362768496,0.0171969480919522,0.0697695493612438,0.0110781178620375,0.0578521939953811
"SFO",5433,0.0185900975519971,0.0749125713233941,0.0226420085488125,0.082379330293683,0.0185904651247231,0.0749134632902168
"SJU",1174,0.0153321976149915,0.0800681431005111,0.0245059586299978,0.0974367369109699,0.0155299391610631,0.0798373983739838
"SLC",329,0.0121580547112462,0.0577507598784195,0.0325965282813523,0.0897040671879602,0.0133597229094508,0.0602597402597403
"SNA",871,0.0275545350172216,0.0619977037887486,0.0411947231253205,0.0805483188615296,0.0268442189811879,0.0627831715210356
"STL",2116,0.0510396975425331,0.130907372400756,0.0615211015478936,0.146288139572537,0.0499269806498722,0.129465930018416
"TPA",2254,0.0173025732031943,0.0949423247559893,0.0237774358220489,0.108039254268978,0.0173450111626309,0.0944588744588745
"TUL",135,0.0296296296296296,0.037037037037037,0.0776408618460405,0.0874571385460749,0.0256898192197907,0.0481675392670157
"TYS",329,0.033434650455927,0.0972644376899696,0.0602670992466875,0.135286863402491,0.0306778822365166,0.094025974025974
"XNA",264,0.0833333333333333,0.223484848484848,0.124436404339023,0.278836459982896,0.0689858490566038,0.1975
