"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",342,0.00292397660818713,0.0614035087719298,0.0186388761233508,0.0932583332111819,0.00575263662511985,0.0633165829145729
"DEN",2425,0.0230927835051546,0.13360824742268,0.0300735269664909,0.148044634652439,0.0229581633469322,0.132285368802902
"DFW",1314,0.0235920852359209,0.0996955859969559,0.0336452060205223,0.117504118514471,0.0233227756982436,0.0986861313868613
"IAD",79,0.0506329113924051,0.177215189873418,0.129139598534161,0.279369560458712,0.0350194552529183,0.134814814814815
"IAH",1056,0.0179924242424242,0.0984848484848485,0.0283716135386074,0.118428853505019,0.018033946251768,0.0973021582733813
"LAX",826,0.0108958837772397,0.0907990314769976,0.0211917442221211,0.112910910044378,0.0115401686640036,0.0897959183673469
"ORD",1138,0.0289982425307557,0.165202108963093,0.0408488902700491,0.188415518190882,0.0283547642598088,0.160971524288107
"SEA",364,0.021978021978022,0.0741758241758242,0.0441250870099364,0.106894695578394,0.0214025500910747,0.0742857142857143
"SFO",186,0.032258064516129,0.139784946236559,0.0712446414600802,0.198800741329218,0.0283307810107198,0.124793388429752
"SLC",688,0.00726744186046512,0.0232558139534884,0.017723513316986,0.0381130007751276,0.00838574423480084,0.0271505376344086
