"DEST","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",1723,0.00522344747533372,0.0394660475914103,0.0101980838656374,0.0500234925698167,0.00578356133911689,0.0405845980888139
"DCA",1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
"DEN",2539,0.00866482867270579,0.0653800708940528,0.0132723611498185,0.0759150804683879,0.00895111315125086,0.0655876685934489
"DFW",1723,0.0319210679048172,0.0835751596053395,0.0416030076724387,0.0979282236327144,0.0313646980313647,0.0833052276559865
"DTW",811,0.0123304562268804,0.0493218249075216,0.0231619741214079,0.0670221929237522,0.012863913337847,0.0509803921568628
"EWR",685,0.0613138686131387,0.143065693430657,0.0824904318500887,0.171976416253713,0.0570902394106814,0.137921727395412
"IAH",1431,0.0195667365478686,0.0621942697414396,0.0284594703049378,0.0762814911542172,0.0195193201434072,0.0626765299260256
"LAS",925,0.00108108108108108,0.0356756756756757,0.00695210314028768,0.0501691409208204,0.0023995200959808,0.0379204892966361
"LAX",90,0.0111111111111111,0.0444444444444444,0.0681742039004684,0.114255863524289,0.0145278450363196,0.0561643835616438
"LGA",177,0.0677966101694915,0.15819209039548,0.117061220927118,0.221024990809481,0.0531324345757336,0.138197424892704
"MCO",108,0.00925925925925926,0.0925925925925926,0.0572981472293512,0.165594077741784,0.0131004366812227,0.0865853658536585
"MDW",1813,0.0237175951461666,0.066188637617209,0.0320579142848783,0.0788861921032201,0.0235144582141722,0.0664526484751204
"MSP",1432,0.00768156424581006,0.0502793296089385,0.0140518019195464,0.0632002034661339,0.00822717622080679,0.0512096774193548
"ORD",2226,0.0476190476190476,0.131176999101527,0.0575224480865932,0.14616700942212,0.0466713019294281,0.129798422436459
"PDX",1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
"PHX",1324,0.0105740181268882,0.0385196374622356,0.0180358894494536,0.0506526468303633,0.0110062893081761,0.04
"SEA",366,0.0109289617486339,0.0710382513661202,0.0293489072386312,0.103174838864262,0.0122393472348141,0.071563981042654
"SFO",1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
"SLC",593,0.00505902192242833,0.0320404721753794,0.0158347890128471,0.050255464342029,0.00658485483388207,0.0357473035439137
"STL",1024,0.0048828125,0.03125,0.011939159564199,0.0442290172857975,0.00582241630276565,0.0335185185185185
