"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ATL",2752,0.00726744186046512,0.0530523255813953,0.0113727557563272,0.0622890909364201
"BDL",138,0,0.036231884057971,0.0338622393661805,0.0856297889951152
"BNA",877,0.0102622576966933,0.0581527936145952,0.0199678873478666,0.0761810028855459
"BOS",1416,0.0240112994350282,0.0875706214689266,0.033695007613703,0.103824501860153
"BWI",1263,0.0150435471100554,0.0712589073634204,0.0237481292291343,0.0871931551580045
"CHS",18,0,0.0555555555555556,0.213490884084226,0.282693646360544
"CLT",1270,0.0031496062992126,0.0291338582677165,0.00854586327516356,0.040264785475065
"CVG",16,0,0.1875,0.234164078649987,0.443649167310371
"DCA",1511,0.0238252812706817,0.0688285903375248,0.0331176416696229,0.0830744849051234
"DEN",1528,0.00654450261780105,0.0674083769633508,0.0123374777621188,0.0814485201852375
"DFW",1893,0.0243000528262018,0.10459587955626,0.0325144850681078,0.119531762363066
"DTW",712,0.0098314606741573,0.0926966292134832,0.0208968872229184,0.11688509644313
"EWR",1588,0.0239294710327456,0.102015113350126,0.0329705975545135,0.118252144169203
"FLL",753,0.0119521912350598,0.0849933598937583,0.0232296951126173,0.107693027185812
"IAD",504,0.0376984126984127,0.111111111111111,0.0590033757817679,0.142393077042654
"IAH",1378,0.00870827285921625,0.0703918722786647,0.0155175936182283,0.0855092206221349
"JFK",365,0.0821917808219178,0.167123287671233,0.116021728466535,0.209907828498549
"LAS",1081,0.00185013876040703,0.0989824236817761,0.0073664699722699,0.118713379467648
"LAX",765,0.00915032679738562,0.0522875816993464,0.0194600599897692,0.0710046257144436
"LGA",3187,0.0778161280200816,0.15437715720113,0.0878592183270617,0.167617295964463
"MCO",1274,0.00706436420722135,0.0918367346938776,0.0137751494828474,0.109371559481093
"MDW",1978,0.0222446916076845,0.0829120323559151,0.0299729190716756,0.0961985429387928
"MIA",404,0.0123762376237624,0.0396039603960396,0.0300144937309016,0.0644509676012857
"MKE",828,0.0144927536231884,0.0543478260869565,0.0257452969738192,0.0724980782376039
"MSP",824,0.0157766990291262,0.0970873786407767,0.0273858493638537,0.119795416945809
"ORD",4835,0.0320579110651499,0.125542916235781,0.0375387569634665,0.135388649768256
"PHL",100,0.02,0.08,0.0761761798342662,0.153969296585393
"PHX",634,0.00157728706624606,0.0630914826498423,0.0101190400922306,0.0854664374810454
"PIT",65,0.0153846153846154,0.0615384615384615,0.0925791045715895,0.154799086748304
"RDU",435,0.0229885057471264,0.114942528735632,0.0428994451898567,0.149296422437904
"RSW",637,0.010989010989011,0.0769230769230769,0.0233349912869513,0.100940541263648
"SEA",89,0.0112359550561798,0.0674157303370786,0.0689007634998106,0.144172885869811
"SFO",563,0.0159857904085258,0.0674955595026643,0.030985168876452,0.0920542757928336
"SJU",41,0,0.0975609756097561,0.105885752158008,0.234682260008812
"STL",430,0.013953488372093,0.0837209302325581,0.0313467162246218,0.114692914014217
"TPA",546,0.00915750915750916,0.0934065934065934,0.0222867665351718,0.121528935119215
