"DEST","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ATL",2810,0.00604982206405694,0.0562277580071174,0.00983948718973662,0.0655893696855502
"CLT",193,0.0103626943005181,0.0155440414507772,0.0404019421598084,0.0477919706046361
"DEN",116,0,0.0775862068965517,0.0400396488532918,0.144349329497649
"DFW",1032,0.0503875968992248,0.125968992248062,0.0659351201357617,0.148131781680625
"DTW",697,0.0157819225251076,0.0616929698708752,0.0287359842015458,0.0827084726314312
"EWR",796,0.0753768844221105,0.160804020100503,0.0964068439989333,0.188585795943387
"IAD",444,0.00675675675675676,0.103603603603604,0.0210872986961079,0.13636846744232
"LGA",1676,0.0865155131264917,0.185560859188544,0.101287826756479,0.205308163181068
"MIA",334,0.0239520958083832,0.0658682634730539,0.0480186224226824,0.0989458520768736
"ORD",604,0.0364238410596026,0.110927152317881,0.0552674855565104,0.13921410324243
