"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",6899,0.0130453688940426,0.0700101463980287,0.0160879420606241,0.076411698307745,0.0131054457858966,0.0700503235082674
"AUS",329,0.0212765957446809,0.0820668693009119,0.0447998905194981,0.117990001291149,0.020781791192479,0.081038961038961
"BDL",110,0,0.0272727272727273,0.0421360225982618,0.0822189753071966,0.00755939524838013,0.0433734939759036
"BNA",685,0.0277372262773723,0.0934306569343066,0.0435767757211708,0.118215211555512,0.026835043409629,0.0920377867746289
"BOS",6174,0.028830579850988,0.0890832523485585,0.0334151878548173,0.0966074807758172,0.0287076745823465,0.0889566613162119
"BWI",283,0.0106007067137809,0.0812720848056537,0.0328676268437195,0.120399087511498,0.0122836404243439,0.08023598820059
"CLE",100,0.01,0.05,0.0616708943128986,0.116445397892612,0.0136986301369863,0.058974358974359
"CLT",3528,0.01218820861678,0.0620748299319728,0.0165149113721153,0.0707211018035241,0.0123223801065719,0.0622767857142857
"CVG",1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
"DCA",244,0.0245901639344262,0.069672131147541,0.0546970433432339,0.110391920926988,0.0231829573934837,0.0706666666666667
"DEN",2360,0.0148305084745763,0.0728813559322034,0.0207571681957035,0.0843453268442838,0.0149474375821288,0.0729304635761589
"DFW",4156,0.0279114533205005,0.0996150144369586,0.0335132734256534,0.109302605094191,0.0277462658347514,0.0992877492877493
"DTW",2214,0.00948509485094851,0.0794941282746161,0.0146716871520143,0.0917900077062236,0.00978507775642145,0.0793832599118943
"FLL",2039,0.0181461500735655,0.0745463462481609,0.0251444969214591,0.0870609832113305,0.018162898495885,0.0745584725536993
"IAH",2297,0.0187200696560731,0.0970831519373095,0.0253301041603365,0.110167545497574,0.0187168029677093,0.0965575860603485
"IND",4,0,0,0.556186217847897,0.556186217847897,0.0176767676767677,0.07
"JAX",393,0.0101781170483461,0.0305343511450382,0.0273597444542555,0.0537787982801998,0.0115335326783426,0.0360801781737194
"LAS",2206,0.0181323662737987,0.0707162284678151,0.0248134512244931,0.0824544304581439,0.0181483429773803,0.0708222811671088
"LAX",2221,0.0126069338135975,0.0373705538045925,0.0183731911423745,0.0463296413448196,0.0128037627384374,0.0382960035133948
"LGA",584,0.0308219178082192,0.0770547945205479,0.04896401782859,0.102299170058969,0.0294296116504854,0.076875
"MCO",4912,0.0193403908794788,0.0934446254071661,0.0236986197681607,0.10209089143526,0.0193294834777029,0.0932367149758454
"MDW",2077,0.0404429465575349,0.123254694270583,0.0500528348288344,0.138427432850239,0.0396803271071462,0.121987810595406
"MIA",2761,0.0162984425932633,0.0872872147772546,0.0219147471971021,0.0986529599887881,0.016359918200409,0.0870429534966276
"MKE",1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
"MSP",2463,0.0121802679658952,0.0617133576938693,0.0175273987420051,0.0721654656542598,0.012370971554645,0.0620087336244541
"MSY",310,0.0193548387096774,0.067741935483871,0.0432621894187427,0.102655083608996,0.0192107995846314,0.0688524590163934
"ORD",4386,0.0305517555859553,0.113315093479252,0.0362094955301118,0.123248497961332,0.0303505783197346,0.112832057631697
"PBI",1187,0.02106149957877,0.0623420387531592,0.031296249074747,0.0779765967405892,0.0209158611947393,0.062912308930008
"PDX",148,0.0135135135135135,0.0608108108108108,0.0522830100543666,0.114399497490185,0.0152329749103943,0.0647058823529412
"PHX",2688,0.0130208333333333,0.0632440476190476,0.0182324040510516,0.07332019866128,0.0131731325998842,0.0634839650145773
"PIT",1063,0.0188146754468485,0.070555032925682,0.0293192298095939,0.0880082732810195,0.0188016165875944,0.0707774798927614
"PVD",171,0.0175438596491228,0.0409356725146199,0.053758773258027,0.0848210165859121,0.0178716490658002,0.0493392070484581
"RDU",1179,0.0296861747243427,0.0712468193384224,0.0413979431623411,0.0877940474398631,0.0290224844522405,0.071417004048583
"RSW",947,0.0168954593453009,0.0527983104540655,0.0277650845511609,0.0694241478350878,0.0170221091762864,0.0540378863409771
"SAN",833,0.0252100840336134,0.0480192076830732,0.0387801194272531,0.0652713234250412,0.0246641708874697,0.049718785151856
"SAT",330,0.0242424242424242,0.0454545454545455,0.0485902900055504,0.0749509342042508,0.0231984205330701,0.049740932642487
"SEA",1066,0.0121951219512195,0.0628517823639775,0.0212069914995561,0.0795034215775082,0.0126182965299685,0.063458110516934
"SFO",2459,0.010980073200488,0.0569337128914193,0.0161212892981467,0.0670465019156599,0.0112066924473207,0.0573359840954274
"SJU",1074,0.00651769087523277,0.0651769087523277,0.0138913739533114,0.0819981770356007,0.00730943264879916,0.0656637168141593
"SLC",704,0.0241477272727273,0.0596590909090909,0.0389830879628753,0.0802932929596609,0.0236139630390144,0.0607894736842105
"SMF",75,0.0666666666666667,0.106666666666667,0.152552305649669,0.201401623862537,0.0426098535286285,0.0931297709923664
"STL",686,0.0131195335276968,0.0830903790087464,0.0254784977201367,0.106798294668423,0.0136626379400946,0.0824797843665768
"TPA",2415,0.0165631469979296,0.0886128364389234,0.0226740250229671,0.100889152675298,0.0166251706690226,0.0883043302306758
