"DEST","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ATL",1677,0.011329755515802,0.0512820512820513,0.0179106028259623,0.0632147397247209
"AUS",1,0,0,0.838178046004133,0.838178046004133
"DAL",1182,0.00676818950930626,0.0532994923857868,0.0137418511728592,0.0680239703651462
"DEN",1926,0.0171339563862928,0.0799584631360332,0.0242095244984875,0.0932379113828454
"DFW",2862,0.0290006988120196,0.0904961565338924,0.0359956724004058,0.101815991505992
"DTW",354,0.0169491525423729,0.0903954802259887,0.0379700895861975,0.125961770414957
"EWR",135,0.0296296296296296,0.037037037037037,0.0776408618460405,0.0874571385460749
"HOU",1004,0.0119521912350598,0.0667330677290837,0.0212610769873042,0.0843596834202069
"IAD",175,0.0114285714285714,0.0628571428571429,0.0444416466657443,0.111420735231433
"IAH",2343,0.0226205719163466,0.0776781903542467,0.0296794095570249,0.0894947490554131
"LAS",365,0.00273972602739726,0.0301369863013699,0.0174796508480862,0.0544253083313855
"MDW",365,0.0246575342465753,0.0383561643835616,0.0475166178389031,0.0645654098577451
"MIA",52,0,0,0.0853117910592438,0.0853117910592438
"MSP",290,0.0103448275862069,0.0482758620689655,0.0320882466433233,0.0808818631119691
"ORD",2483,0.0471204188481675,0.143777688280306,0.0564089494939443,0.158445112852466
"PHX",634,0.00473186119873817,0.0441640378548896,0.0148190868999174,0.0637833861904894
"SLC",334,0.0029940119760479,0.0119760479041916,0.0190789766825034,0.0321162802349199
"STL",469,0.00426439232409382,0.0490405117270789,0.0168774857742422,0.0734294756686038
