"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"AA",2114,0.0288552507095553,0.0851466414380322,0.0371277769820064,0.0981096219926977,0.0285035629453682,0.0848847926267281,2113,0.0269758637008992,0.0861334595362045,0.035024425205227,0.0991608624889042,0.0266886025043415,0.0858460119870908
"AS",286,0.0104895104895105,0.0314685314685315,0.0325290187392392,0.0603663118473287,0.0121816168327796,0.0385964912280702,286,0.0034965034965035,0.0244755244755245,0.0222280595443608,0.0514005612627126,0.00664451827242525,0.0327485380116959
"B6",299,0.020066889632107,0.0802675585284281,0.0448240157268443,0.11798906780368,0.019775521111705,0.0794366197183099,299,0.0133779264214047,0.0802675585284281,0.0358093472223901,0.11798906780368,0.014430785676109,0.0794366197183099
"DL",1224,0.00816993464052288,0.0351307189542484,0.0153862125159738,0.0473683157938665,0.00877463054187192,0.036875,1223,0.00490596892886345,0.035977105478332,0.0111152264379466,0.0483357480217684,0.00570020027730704,0.0376856919468335
"EV",1167,0.0145672664952871,0.078834618680377,0.0236095504351831,0.096153853325554,0.0148124295604573,0.078659035159444,1167,0.0162810625535561,0.0719794344473008,0.0256896656565252,0.0886876024189611,0.0164224762518113,0.0721177432542927
"MQ",592,0.0439189189189189,0.143581081081081,0.0643144643716242,0.174898537721486,0.0410671462829736,0.137654320987654,591,0.0355329949238579,0.123519458544839,0.0544612620836873,0.153264073654707,0.0336235364755329,0.119319938176198
"OO",3915,0.0158365261813538,0.065389527458493,0.020379897076708,0.0737558864879353,0.0158889278732896,0.0655250566607907,3912,0.0112474437627812,0.0590490797546012,0.0151901825219414,0.0670598895789039,0.0113864365971108,0.0592741935483871
"UA",60,0.0333333333333333,0.166666666666667,0.123015364784491,0.285078093724975,0.0251479289940828,0.122413793103448,61,0,0.163934426229508,0.0736088136208237,0.28086267648656,0.0102790014684288,0.121367521367521
"US",48,0,0.0208333333333333,0.0917980957908874,0.122359446728978,0.0113636363636364,0.05,49,0,0.0816326530612245,0.0900857997711692,0.200251929010821,0.0112721417069243,0.0780952380952381
"WN",12797,0.0104712041884817,0.0600140657966711,0.0124364954841717,0.0643545601953589,0.0105187924364134,0.0600793589045359,12797,0.00890833789169337,0.0634523716496054,0.0107368829489478,0.0679023000245609,0.00896505647830208,0.0635026841982417
