"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",1202,0.00499168053244592,0.0515806988352745,0.011308508011472,0.0659781666913941,0.00579392420920764,0.0526232114467409
"DAL",662,0.00906344410876133,0.0604229607250755,0.0204546193755998,0.0819010977373966,0.0100379815518177,0.0615598885793872
"DEN",1022,0.0264187866927593,0.111545988258317,0.0386130860673566,0.132832795046748,0.025884068538097,0.109647495361781
"DFW",1111,0.0315031503150315,0.09000900090009,0.0439120830776127,0.108747043840392,0.0306862249199123,0.0892887746358183
"IAH",1204,0.0224252491694352,0.0697674418604651,0.0328147886162286,0.0859891066259781,0.0222013758599124,0.07
"LAS",365,0.00273972602739726,0.0191780821917808,0.0174796508480862,0.0404508877503998,0.00545206724216265,0.026603325415677
"LAX",234,0.0256410256410256,0.11965811965812,0.0569788588998796,0.169078984404249,0.0239327296248383,0.111034482758621
"MDW",669,0.0149476831091181,0.077727952167414,0.0280329247692421,0.101181257980647,0.0153184627788229,0.0775172413793103
"MSP",568,0.00704225352112676,0.0440140845070423,0.0190091220319209,0.0649371802941137,0.0083955223880597,0.0467948717948718
"ORD",2069,0.0546157564040599,0.16626389560174,0.0655302547478873,0.183287914418459,0.0533532319746292,0.163858823529412
