"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",1036,0.0125482625482625,0.0444015444015444,0.0218172148754187,0.0591662172851157,0.0129589632829374,0.045970695970696
"BWI",2799,0.0203644158628081,0.0857449088960343,0.0264715491056857,0.0969458837407894,0.0203186973766613,0.0855341506129597
"CLT",1186,0.0219224283305228,0.0640809443507589,0.0323174438379316,0.0798948092277175,0.0217253409451316,0.064573268921095
"DCA",24,0,0,0.168769306267035,0.168769306267035,0.0141129032258065,0.0525
"DEN",6,0,0.333333333333333,0.45298221281347,0.709838667696593,0.0172413793103448,0.1
"DTW",962,0.0135135135135135,0.0540540540540541,0.0234840495945431,0.0706834859225321,0.0138835325877362,0.0552062868369352
"EWR",280,0.0857142857142857,0.139285714285714,0.125774733604091,0.186076904136628,0.071509009009009,0.128571428571429
"FLL",878,0.0227790432801822,0.0968109339407745,0.0354456895935971,0.118719760947677,0.0224506924045321,0.0955032119914347
"IAD",274,0.0255474452554745,0.12043795620438,0.0536045994553471,0.165691664743689,0.0240549828178694,0.112727272727273
"MCO",2195,0.0173120728929385,0.0938496583143508,0.0238897400881791,0.107069738578816,0.017355299092591,0.0933807196801422
"MDW",984,0.032520325203252,0.0752032520325203,0.0460116263306855,0.0938781159623995,0.0315332326283988,0.0751923076923077
"MSP",3,0,0,0.627208174095541,0.627208174095541,0.0179028132992327,0.0711864406779661
"ORD",588,0.0510204081632653,0.153061224489796,0.0726413596055507,0.185185519096604,0.0473462002412545,0.146273291925466
"PBI",32,0,0.09375,0.131909363437364,0.254165737018414,0.0130597014925373,0.0818181818181818
"PHL",170,0.0117647058823529,0.0764705882352941,0.0457112394900184,0.128761869123018,0.0138662316476346,0.0761061946902655
"RSW",49,0,0.0816326530612245,0.0900857997711692,0.200251929010821,0.0112721417069243,0.0780952380952381
"TPA",726,0.0165289256198347,0.0798898071625344,0.0293304240783635,0.102522780431764,0.0167249126310534,0.079539641943734
