"DEST","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ATL",3374,0.00592768227622999,0.0323058684054535,0.00928070876599582,0.0389941437515009
"BNA",375,0.0133333333333333,0.0533333333333333,0.0323018700784754,0.0820699064019989
"BOS",391,0.010230179028133,0.051150895140665,0.0274977966302427,0.0787743055963541
"BWI",1138,0.0193321616871705,0.0667838312829526,0.0295047780225855,0.0832308528377733
"CLE",18,0,0.0555555555555556,0.213490884084226,0.282693646360544
"CLT",268,0.0111940298507463,0.0298507462686567,0.0346722099628662,0.059585317786989
"DAL",12,0,0,0.290359456941537,0.290359456941537
"DCA",713,0.0210378681626928,0.0532959326788219,0.0350737327554708,0.0729305621830754
"DFW",646,0.0448916408668731,0.136222910216718,0.0644103774151306,0.165555669626043
"DTW",142,0.00704225352112676,0.0704225352112676,0.0440296356263637,0.127653278000055
"EWR",1323,0.0506424792139078,0.131519274376417,0.0641865582529773,0.151251618770177
"HOU",365,0.010958904109589,0.0301369863013699,0.0294281494506592,0.0544253083313855
"IAD",353,0.0226628895184136,0.110481586402266,0.0454771623774574,0.148595111837836
"IAH",686,0.0262390670553936,0.0903790087463557,0.0417589733169211,0.114840459529503
"JFK",928,0.0204741379310345,0.130387931034483,0.0322546219307749,0.154147682219592
"LGA",550,0.0854545454545454,0.165454545454545,0.112574973060687,0.199628338927512
"MDW",606,0.0214521452145215,0.0676567656765677,0.0371313714931182,0.0912199751195348
"MIA",595,0.0168067226890756,0.0705882352941176,0.0314832294519207,0.0947745515763427
"ORD",832,0.0492788461538462,0.145432692307692,0.0667142825114896,0.17163210987857
"ORF",1,0,0,0.838178046004133,0.838178046004133
"SLC",1,0,0,0.838178046004133,0.838178046004133
