"DEST","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ABQ",720,0.00277777777777778,0.0527777777777778,0.011034440568905,0.0722302807994711
"ATL",2240,0.00669642857142857,0.0254464285714286,0.011236593680472,0.0330476787101374
"AUS",688,0.00145348837209302,0.0537790697674419,0.0093303245208326,0.0738915234213634
"BNA",419,0.0119331742243437,0.0548926014319809,0.0289539878326945,0.0820330767608995
"BOI",365,0.0136986301369863,0.063013698630137,0.0331736365924439,0.093916818189003
"BOS",1045,0.0181818181818182,0.0641148325358852,0.0286682065967057,0.0810844331761114
"BWI",754,0.0119363395225464,0.0424403183023873,0.023199133571876,0.0598909716914252
"CLT",697,0.00717360114777618,0.0258249641319943,0.0174964572966732,0.0411066413341483
"CVG",50,0,0,0.0884361975176823,0.0884361975176823
"DAL",482,0.004149377593361,0.0394190871369295,0.016426965194177,0.0616562805248691
"DEN",4552,0.00746924428822496,0.054481546572935,0.0105251308087863,0.0616204835027409
"DFW",3476,0.0186996547756041,0.0756616800920598,0.0239115942724765,0.0851418033060959
"DTW",764,0.00392670157068063,0.0143979057591623,0.012314524022262,0.0262367325567085
"EWR",1074,0.0167597765363128,0.058659217877095,0.0267726460835699,0.0747966875267702
"HNL",712,0.00280898876404494,0.0280898876404494,0.0111575574956623,0.0436251231832608
"HOU",733,0.00818553888130969,0.0422919508867667,0.0184885595923511,0.0600121579722667
"IAD",1198,0.0108514190317195,0.0425709515859766,0.018883097520688,0.0559364374823956
"IAH",1731,0.0098209127671866,0.0415944540727903,0.0159480876897824,0.0523537477171898
"JFK",1770,0.0203389830508475,0.0774011299435028,0.0282954161595072,0.0911144481678285
"KOA",51,0,0,0.0868459085456425,0.0868459085456425
"LAS",4298,0.00953932061423918,0.0581665891112145,0.0130286305303669,0.0657380512722878
"LAX",6903,0.0146313197160655,0.0560625814863103,0.01782914003872,0.0618675650373715
"LIH",217,0,0.00921658986175115,0.0217900440033474,0.0360345502663326
"MCI",510,0.00784313725490196,0.0803921568627451,0.0211484480274291,0.108082330312866
"MCO",622,0.00643086816720257,0.0530546623794212,0.0173729160076544,0.0742757683436162
"MDW",1280,0.01875,0.0484375,0.0281107942401159,0.0619907705428277
"MIA",402,0.00746268656716418,0.0248756218905473,0.0232623469509599,0.0463671134062089
"MKE",12,0,0.166666666666667,0.290359456941537,0.46650635094611
"MSP",1140,0.00087719298245614,0.0201754385964912,0.00564646550889747,0.0304983659987839
"MSY",365,0.00273972602739726,0.0383561643835616,0.0174796508480862,0.0645654098577451
"OAK",3906,0.0273937532002048,0.0727086533538146,0.0331425854062899,0.0814738041003814
"OGG",429,0.00466200466200466,0.0116550116550117,0.0184329824065154,0.0282876590843123
"ORD",2702,0.0133234641006662,0.0636565507031828,0.0185668720968029,0.0737322706153082
"PDX",1873,0.00213561131873999,0.0304324612920448,0.00580242045980122,0.0394879708253268
"PHL",833,0.0252100840336134,0.0480192076830732,0.0387801194272531,0.0652713234250412
"PHX",5639,0.0127682213158361,0.051250221670509,0.0161423836394313,0.0574563373105693
"RNO",718,0.00278551532033426,0.0543175487465181,0.0110649643742518,0.0740129114730307
"SAT",683,0,0.0439238653001464,0.00702228101006419,0.0626594964759202
"SEA",3639,0.00274800769442154,0.0283044792525419,0.00519263878871728,0.0343662916498777
"SFO",7443,0.028751847373371,0.144296654574768,0.0328943810835275,0.152636029924848
"SJC",3304,0.0108958837772397,0.0575060532687651,0.0151928086377573,0.0661718713546487
"SLC",2459,0.00325335502236682,0.0260268401789345,0.00662269717094979,0.033304466923441
"SMF",3132,0.00606641123882503,0.0440613026819923,0.00960918780396127,0.0520185162667222
"STL",186,0.0161290322580645,0.0591397849462366,0.0495415776357391,0.105052822618663
"TUS",997,0.00300902708124373,0.0561685055165497,0.00945150130052331,0.0727109774174805
