"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"AA",1859,0.0150618612157074,0.064550833781603,0.0219355303808492,0.0769485571337634,1859,0.0166756320602474,0.0823023130715438,0.0238255046222014,0.095996504364639
"AS",13218,0.00378272053260705,0.0351036465425934,0.00502146551626936,0.0384515521252198,13219,0.00332854224979197,0.0332854224979197,0.00450283938058634,0.0365528900424535
"B6",1306,0.00612557427258806,0.0482388973966309,0.0124430301921714,0.0616178553180101,1306,0.00612557427258806,0.0742725880551302,0.0124430301921714,0.0901778943825726
"DL",5165,0.00290416263310745,0.0245885769603098,0.00488153218416535,0.0292958776271989,5167,0.00251596671182504,0.0342558544610025,0.00439658166904805,0.0397004380617566
"F9",1066,0.00469043151969981,0.0600375234521576,0.0114711827730547,0.0763915818628531,1064,0.0018796992481203,0.0742481203007519,0.00748361641987453,0.0920449045979059
"HA",365,0,0.0191780821917808,0.0130643674688631,0.0404508877503998,365,0,0.0164383561643836,0.0130643674688631,0.036843353173782
"NK",338,0.0473372781065089,0.171597633136095,0.0767806035653223,0.216571656195231,336,0.0357142857142857,0.151785714285714,0.0627283147452037,0.195227439334853
"OO",6167,0.0165396465055943,0.0677801199935139,0.0201302025581761,0.0744722744543514,6169,0.0163721834981358,0.0620846166315448,0.0199461737873854,0.0685241175425292
"UA",5677,0.00827902060947684,0.0521402149022371,0.0110789460570932,0.0583713488409832,5676,0.00651867512332629,0.082276250880902,0.00905757794907881,0.0898743163384116
"US",2206,0.00906618313689937,0.0308250226654578,0.0141782908662616,0.039124915260948,2206,0.00362647325475975,0.0507706255666364,0.00738019463725318,0.060993710982142
"VX",362,0,0.0110497237569061,0.0131712803156811,0.0296684644291626,362,0,0.0441988950276243,0.0131712803156811,0.0717868754042602
"WN",11110,0.00486048604860486,0.042034203420342,0.00638193952014065,0.0460130543576323,11110,0.00306030603060306,0.0532853285328533,0.00431712698302413,0.0577131320788301
