"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",1709,0.00234055002925688,0.0315974253949678,0.00635749697064591,0.0412842722559949,0.0030265665284161,0.0329745042492918
"BDL",469,0.00852878464818763,0.0767590618336887,0.0229763394670145,0.105334507850926,0.00992282249173098,0.0765714285714286
"BOS",1089,0.0211202938475666,0.0853994490358127,0.0319167194137521,0.103958988756149,0.020958598179007,0.0848908296943231
"BWI",656,0,0.0777439024390244,0.00730930057210094,0.101459654543576,0.00191466083150985,0.0775280898876405
"CLE",41,0,0.024390243902439,0.105885752158008,0.141036446803029,0.0120481927710843,0.0536082474226804
"CLT",723,0.00691562932226833,0.0608575380359613,0.0168720303901802,0.0813321934541315,0.0080180405913305,0.0618741976893453
"DCA",365,0.010958904109589,0.0410958904109589,0.0294281494506592,0.0678970682095982,0.012267151294866,0.0456057007125891
"DFW",610,0.00491803278688525,0.101639344262295,0.0153972145117014,0.128897690544439,0.00642148277875073,0.0993993993993994
"DTW",26,0,0.0384615384615385,0.157750673475196,0.209544511501033,0.0138339920948617,0.0634146341463415
"EWR",1175,0.00936170212765958,0.0612765957446808,0.0171087671637851,0.0768922614208595,0.00991841305391137,0.0619008935824533
"FLL",2786,0.00681981335247667,0.0628140703517588,0.0107994959620096,0.0726703996297146,0.00712987557668111,0.0630541871921182
"HOU",23,0,0,0.174876121102188,0.174876121102188,0.0142566191446029,0.0531645569620253
"IAD",164,0,0.0487804878048781,0.0286401240579654,0.0960323622150504,0.00585284280936455,0.0554545454545455
"IAH",465,0.00860215053763441,0.043010752688172,0.023171731043421,0.0664353293823469,0.00999629766753055,0.0464491362763916
"JAX",64,0,0.03125,0.0703900321187786,0.115890735302667,0.0100574712643678,0.0516666666666667
"JFK",4811,0.0147578466015381,0.0827270837663687,0.0186828613716223,0.0910285580283051,0.0148172403913061,0.0826381754674337
"MCO",3599,0.00388996943595443,0.0555709919422062,0.00665618019999662,0.0637293986213929,0.00419138860160035,0.0558686730506156
"MIA",2478,0.00121065375302663,0.0484261501210654,0.00381451616246673,0.0578327794092363,0.00172332758890804,0.0490134175217048
"MSP",44,0.0227272727272727,0.0227272727272727,0.132377124296868,0.132377124296868,0.0201342281879195,0.052
"ORD",1103,0.0099728014505893,0.0634632819582956,0.0182191832814436,0.0798639534555374,0.0105245289424546,0.0640207075064711
"PHL",1074,0.00279329608938547,0.0912476722532588,0.0087771359258308,0.11043579167608,0.00382875043508528,0.0904424778761062
"TPA",1197,0.0050125313283208,0.0568086883876358,0.0113555223059731,0.0718053577921615,0.0058166954881308,0.0576217079010375
