"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ATL",1071,0.00840336134453781,0.0373482726423903,0.0163713718703921,0.0508890769426297
"BWI",715,0.0181818181818182,0.0811188811188811,0.031522588941064,0.104077133871353
"CLT",276,0.0072463768115942,0.0615942028985507,0.0284690206970564,0.0979172139102877
"DTW",197,0.0152284263959391,0.0913705583756345,0.046846577537988,0.141729484310132
"EWR",662,0.0422960725075529,0.0936555891238671,0.0611184481713176,0.118936663295207
"IAD",184,0.0271739130434783,0.157608695652174,0.0648513623687427,0.219021855627528
"JFK",1277,0.028974158183242,0.100234925606891,0.0400455875717225,0.118357122764764
"LGA",268,0.0708955223880597,0.175373134328358,0.109574425107362,0.226751479218008
"MCO",426,0.00469483568075117,0.0446009389671361,0.0185612834413693,0.0696245346646677
"MDW",688,0.0174418604651163,0.106104651162791,0.0309353030536605,0.132015874930539
"MSP",111,0,0.108108108108108,0.0417715150548425,0.182722011726464
"ORD",1780,0.0325842696629213,0.103370786516854,0.0421688288998106,0.118730557786716
"TPA",312,0.00961538461538462,0.0737179487179487,0.0298627027166714,0.109481901661956
